latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-2.31352,115.42928,314.93,1.02,1.01,2026-09-24,805,Aqua,MODIS,62,6.1NRT,297.44,5.68,D
-2.27957,114.96931,315.29,1,1,2026-09-24,805,Aqua,MODIS,29,6.1NRT,297.04,6.21,D
-2.27373,115.43494,322.64,1.02,1.01,2026-09-24,805,Aqua,MODIS,75,6.1NRT,296.59,13.26,D
-2.27243,115.44379,321.57,1.02,1.01,2026-09-24,805,Aqua,MODIS,74,6.1NRT,296.9,12.15,D
-2.23663,114.63715,326.44,1,1,2026-09-24,805,Aqua,MODIS,79,6.1NRT,300.4,17.02,D
-2.23199,115.23047,314.17,1.01,1.01,2026-09-24,805,Aqua,MODIS,60,6.1NRT,299.33,5.92,D
-2.22951,115.67424,318.68,1.03,1.02,2026-09-24,805,Aqua,MODIS,70,6.1NRT,297.04,10.23,D
-2.21567,116.57633,315.98,1.11,1.05,2026-09-24,805,Aqua,MODIS,61,6.1NRT,299.35,8.52,D
-2.20529,116.47063,323.81,1.1,1.05,2026-09-24,805,Aqua,MODIS,77,6.1NRT,300.44,16.84,D
-2.20387,116.48021,316.14,1.1,1.05,2026-09-24,805,Aqua,MODIS,65,6.1NRT,299.92,8.13,D
-2.1883,114.8189,313.33,1,1,2026-09-24,805,Aqua,MODIS,34,6.1NRT,299.46,5.24,D
-2.11215,110.46751,320.36,1.51,1.21,2026-09-24,805,Aqua,MODIS,70,6.1NRT,297.42,16.9,D
-2.10448,114.84206,334.76,1,1,2026-09-24,805,Aqua,MODIS,62,6.1NRT,299.15,26.95,D
-2.08536,114.83352,322.91,1,1,2026-09-24,805,Aqua,MODIS,76,6.1NRT,299.24,12.96,D
-2.03499,115.86387,321.64,1.05,1.02,2026-09-24,805,Aqua,MODIS,56,6.1NRT,292.11,14.87,D
-2.03365,115.873,319.69,1.05,1.02,2026-09-24,805,Aqua,MODIS,62,6.1NRT,294.16,12.34,D
-1.99556,115.0788,318.95,1.01,1,2026-09-24,805,Aqua,MODIS,70,6.1NRT,298.3,10.93,D
-1.99427,115.08755,316.67,1.01,1,2026-09-24,805,Aqua,MODIS,66,6.1NRT,298.79,8.81,D
-1.99378,113.70959,393.06,1.02,1.01,2026-09-24,805,Aqua,MODIS,94,6.1NRT,299.5,214.62,D
-1.99311,115.33895,313.7,1.02,1.01,2026-09-24,805,Aqua,MODIS,59,6.1NRT,296.74,5.3,D
-1.99248,113.71846,326.95,1.02,1.01,2026-09-24,805,Aqua,MODIS,80,6.1NRT,297.93,19.16,D
-1.9875,115.1941,315.27,1.01,1.01,2026-09-24,805,Aqua,MODIS,62,6.1NRT,297.9,6.76,D
-1.9849,115.89382,311.89,1.05,1.02,2026-09-24,805,Aqua,MODIS,23,6.1NRT,291.93,3.78,D
-1.98443,111.13841,335.78,1.35,1.15,2026-09-24,805,Aqua,MODIS,87,6.1NRT,297.48,44.02,D
-1.98354,115.90296,315.9,1.05,1.02,2026-09-24,805,Aqua,MODIS,64,6.1NRT,293.82,7.47,D
-1.97437,111.13696,360.87,1.35,1.15,2026-09-24,805,Aqua,MODIS,100,6.1NRT,298.65,126.15,D
-1.94608,110.5641,318.11,1.48,1.2,2026-09-24,805,Aqua,MODIS,70,6.1NRT,296.06,16.6,D
-1.91362,114.44057,316.45,1,1,2026-09-24,805,Aqua,MODIS,59,6.1NRT,299.81,7.63,D
-1.90962,114.97012,317.4,1.01,1,2026-09-24,805,Aqua,MODIS,68,6.1NRT,297.84,9.37,D
-1.90833,114.97886,313.26,1.01,1,2026-09-24,805,Aqua,MODIS,53,6.1NRT,298.05,5.55,D
-1.89862,115.85645,318.39,1.05,1.02,2026-09-24,805,Aqua,MODIS,69,6.1NRT,298.13,8.6,D
-1.89727,115.8656,330.4,1.05,1.02,2026-09-24,805,Aqua,MODIS,83,6.1NRT,298.19,22.49,D
-1.89069,116.27845,322.65,1.09,1.04,2026-09-24,805,Aqua,MODIS,75,6.1NRT,300.81,13.62,D
